,id,gender,age,driving_license,region_code,previously_insured,vehicle_age,vehicle_damage,annual_premium,policy_sales_channel,vintage
211003,211004,Female,41,1,8.0,1,between_1_2_years,0,2630.0,26.0,127
140547,140548,Female,24,1,13.0,0,below_1_year,0,27938.0,152.0,179
94150,94151,Male,24,1,34.0,1,below_1_year,0,29312.0,152.0,202
179300,179301,Female,20,1,17.0,0,below_1_year,0,2630.0,160.0,97
70989,70990,Male,23,1,8.0,1,below_1_year,0,49614.0,26.0,129
182361,182362,Female,22,1,41.0,1,below_1_year,0,20586.0,152.0,258
325606,325607,Female,64,1,15.0,0,between_1_2_years,1,33733.0,26.0,60
31086,31087,Male,44,1,8.0,1,between_1_2_years,1,2630.0,154.0,227
6635,6636,Female,21,1,21.0,1,below_1_year,0,26129.0,152.0,242
136780,136781,Female,38,1,28.0,0,between_1_2_years,1,2630.0,122.0,214
288922,288923,Female,23,1,34.0,1,below_1_year,0,35380.0,151.0,88
46331,46332,Male,24,1,29.0,1,below_1_year,0,28225.0,163.0,247
18791,18792,Female,45,1,8.0,0,between_1_2_years,1,36879.0,124.0,179
134319,134320,Female,25,1,33.0,1,below_1_year,0,2630.0,152.0,161
263022,263023,Male,46,1,8.0,0,between_1_2_years,1,2630.0,26.0,148
143398,143399,Male,24,1,41.0,1,below_1_year,0,43191.0,152.0,223
154679,154680,Male,33,1,28.0,0,between_1_2_years,1,39479.0,154.0,266
340100,340101,Female,60,1,1.0,0,between_1_2_years,1,2630.0,26.0,186
245656,245657,Male,34,1,28.0,0,between_1_2_years,1,37517.0,124.0,102
228064,228065,Male,21,1,3.0,1,below_1_year,0,23333.0,160.0,94
106945,106946,Male,48,1,3.0,1,between_1_2_years,0,39835.0,26.0,97
289549,289550,Male,71,1,8.0,0,between_1_2_years,0,36820.0,124.0,253
285431,285432,Female,62,1,28.0,1,between_1_2_years,0,37913.0,124.0,258
163838,163839,Male,78,1,47.0,1,between_1_2_years,0,44960.0,16.0,220
162656,162657,Male,49,1,41.0,1,between_1_2_years,0,30340.0,124.0,177
178562,178563,Male,22,1,32.0,1,below_1_year,0,29570.0,163.0,106
136420,136421,Male,79,1,33.0,0,between_1_2_years,1,21863.0,26.0,88
320797,320798,Male,42,1,47.0,0,between_1_2_years,1,34927.0,124.0,279
82500,82501,Male,62,1,8.0,0,between_1_2_years,1,2630.0,26.0,88
209366,209367,Male,23,1,10.0,1,below_1_year,0,26256.0,151.0,26
